1,2,0.019999999999999993
2,3,0.019999999999999976
3,4,0.019999999999999993
4,5,0.019999999999999993
5,6,0.01999999999999998
6,7,0.019999999999999976
7,8,0.020000000000000004
8,9,0.020000000000000028
9,10,0.019999999999999997
10,11,0.020000000000000018
11,12,0.01999999999999998
12,13,0.01999999999999999
13,14,0.020000000000000004
14,15,0.020000000000000004
15,16,0.01999999999999999
16,17,0.020000000000000007
10,18,0.019999999999999976
13,19,0.012076471754902597
17,20,0.01999999999999999
20,21,0.02000000000000001
21,22,0.02
9,23,0.007466766087635222
22,24,0.020000000000000014
24,25,0.020000000000000004
25,26,0.020000000000000018
26,27,0.01999999999999999
27,28,0.020000000000000004
28,29,0.019999999999999997
29,30,0.020000000000000007
27,31,0.020000000000000004
30,32,0.020000000000000004
32,33,0.019999999999999997
33,34,0.019999999999999993
34,35,0.020000000000000014
30,36,0.01999999999999999
35,37,0.020000000000000004
37,38,0.020000000000000007
36,39,0.02000000000000001
39,40,0.020000000000000014
29,41,0.013682935771514509
38,42,0.019999999999999997
38,43,0.019999999999999993
26,44,0.017712698971770968
40,45,0.01999999999999999
43,46,0.020000000000000007
46,47,0.019999999999999993
45,48,0.019999999999999997
47,49,0.019999999999999993
48,50,0.02
49,51,0.019999999999999997
42,52,0.020000000000000007
51,53,0.019999999999999997
53,54,0.019999999999999997
54,55,0.02
53,56,0.019999999999999997
50,57,0.020000000000000007
21,58,0.01999999999999999
56,59,0.02
59,60,0.020000000000000007
57,61,0.019999999999999997
56,62,0.011336174904026572
61,63,0.02
55,64,0.02000000000000001
64,65,0.020000000000000018
46,66,0.016500977697608266
60,67,0.019999999999999997
67,68,0.019999999999999997
65,69,0.02
69,70,0.019999999999999993
63,71,0.020000000000000018
71,72,0.019999999999999997
31,73,0.019999999999999993
68,74,0.02
55,75,0.019375802790236415
72,76,0.019999999999999993
70,77,0.019999999999999993
58,78,0.020000000000000004
47,79,0.01999999999999999
63,80,0.0067904431778802055
72,81,0.020000000000000025
76,82,0.020000000000000007
82,83,0.019999999999999993
65,84,0.020000000000000014
74,85,0.020000000000000004
85,86,0.02
77,87,0.02
86,88,0.020000000000000004
84,89,0.019999999999999997
88,90,0.019999999999999987
76,91,0.020000000000000014
86,92,0.02
83,93,0.020000000000000004
90,94,0.019999999999999993
9,95,0.020000000000000018
87,96,0.020000000000000007
78,97,0.01999999999999999
81,98,0.02000000000000002
93,99,0.01999999999999999
96,100,0.020000000000000007
100,101,0.019999999999999993
99,102,0.019999999999999997
91,103,0.020000000000000004
102,104,0.020000000000000014
96,105,0.01999999999999999
94,106,0.02
101,107,0.019999999999999993
73,108,0.016845390435956533
104,109,0.02
109,110,0.019999999999999997
98,111,0.01999999999999999
106,112,0.02
112,113,0.02
113,114,0.019999999999999983
114,115,0.019999999999999993
105,116,0.020000000000000007
107,117,0.01999999999999999
115,118,0.02
116,119,0.02
119,120,0.019999999999999993
113,121,0.02
13,122,0.019999999999999993
120,123,0.020000000000000007
50,124,0.02000000000000001
119,125,0.02
18,126,0.020000000000000014
89,127,0.019999999999999997
95,128,0.020000000000000014
97,129,0.020000000000000025
110,130,0.020000000000000025
129,131,0.020000000000000018
118,132,0.019999999999999987
103,133,0.020000000000000007
110,134,0.01999999999999999
