0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3235690722387586e-10,-6.074607623436297e-25,-3.301402290513589e-23,-3.4806322416767915e-08,1.5643290973828376e-09,3.32419933193851e-08,2.139460437579179e-23,2.786461204713195e-09,2.7864612047131708e-09,2.7864612047131828e-09,2.7864612047131563e-09,[0. 0. 0. 1.]
0.0,1.057264907831899e-09,-4.795062613393332e-24,-2.6371549937261047e-22,-2.780323598804462e-07,1.2495836399121259e-08,2.655365234813251e-07,1.7089976562546236e-22,2.2258208585934866e-08,2.225820858593467e-08,2.225820858593477e-08,2.2258208585934558e-08,[0. 0. 0. 1.]
0.0,3.5629059362330676e-09,-1.637559118913572e-23,-8.887020757343943e-22,-9.369488556225044e-07,4.2110060926854404e-08,8.948387946956506e-07,5.759197954431799e-22,7.500854602595981e-08,7.500854602595915e-08,7.50085460259595e-08,7.500854602595878e-08,[0. 0. 0. 1.]
0.0,7.031714813403264e-09,-9.9507242750715e-23,-3.562614682415878e-21,-2.183247795602306e-06,-2.509871044953802e-07,1.4319496264687159e-06,3.1991582031867708e-21,1.480361013348086e-07,1.480361013348031e-07,1.4803610133480667e-07,1.4803610133480376e-07,[0. 0. 0. 1.]
0.0,1.3713153447959096e-08,-1.9463301319431318e-22,-6.947760462678546e-21,-4.257739495761275e-06,-4.894712906711493e-07,2.7925687589234757e-06,6.23895240678748e-21,2.8869796732546057e-07,2.886979673254499e-07,2.886979673254568e-07,2.8869796732545115e-07,[0. 0. 0. 1.]
0.0,2.3660654458382062e-08,-3.352537173283279e-22,-1.1987651380228538e-20,-7.346296596921718e-06,-8.445322692998659e-07,4.818294725725617e-06,1.0764674439838794e-20,4.981190412291064e-07,4.981190412290879e-07,4.981190412290998e-07,4.981190412290901e-07,[0. 0. 0. 1.]
0.0,3.7515648571113384e-08,-5.321227031159485e-22,-1.9007263722267066e-20,-1.1648073462451895e-05,-1.3390642152097109e-06,7.639750290452835e-06,1.706814561052152e-20,7.898031278129298e-07,7.898031278129003e-07,7.898031278129194e-07,7.898031278129039e-07,[0. 0. 0. 1.]
0.0,5.5915662496681844e-08,-7.935117766827052e-22,-2.8329587751870833e-20,-1.7361010825935036e-05,-1.995820466736114e-06,1.1386764684824233e-05,2.5439401863612767e-20,1.1771718420354319e-06,1.177171842035388e-06,1.1771718420354162e-06,1.1771718420353931e-06,[0. 0. 0. 1.]
0.0,7.949428837812792e-08,-1.1276927441541284e-21,-4.0275622138598765e-20,-2.4681828135804716e-05,-2.8374142656932208e-06,1.618836555666195e-05,3.6166691181047265e-20,1.6735639658553597e-06,1.6735639658552974e-06,1.6735639658553373e-06,1.6735639658553046e-06,[0. 0. 0. 1.]
